Reference_Text,Ground_Truth,Predicted_Summary
"Dear Sir
Several diseases including skin cancer and hypovitaminosis D occur due to migration of dark skinned and light skinned people to each others habitats, I want to know what latitude woud be best for Fitzpatrick type IIIa skin, I mean, I'm moving to Portland, Maine is my skin best suited for UV rays there and what is the best skin type for Portland Maine, with regards on the ozone depletion that expose us to more UV,thanks.
yours,
[NAME]",What is the best latitude for someone with Fitzpatrick type III skin?,"What is the best latitude for individuals with Fitzpatrick type IIIa skin to reside in order to minimize the risk of skin cancer and hypovitaminosis D, taking into account the ozone depletion and UV exposure in different regions?"
"ClinicalTrials.gov - Question - general information.
 i am a two time peg/ interferon non responder, under medical care at [LOCATION] Medical center, had an eye issue, at same time i was almost viral free. I need in a clinical trial of on new Sofosbuvir treatment.",Where can I find information on clinical trials for sofosbuvir?,Am I eligible for a clinical trial of a new Sofosbuvir treatment?
"SUBJECT: Lyme Disease
MESSAGE: 12 years ago I was bitten by tick while deer hunting. The bite area contained the ring as described in Lyme Disease symptoms.  I was treated with antibiotics;  however, ever since that time I have many of the symptoms cited for Lyme.  Also, usually prior to, and during these symptoms I have a reddish-pink welt appear at the site of the bite on my groin.  Can you offer any enlightment on my condition?",What is the prognosis for post-treatment Lyme Disease symptoms?,"Can you offer any enlightenment on my condition, which has been marked by persistent Lyme Disease symptoms and the recurring appearance of a reddish-pink welt at the site of the original bite on my groin?"
"From: [CONTACT]
Sent: Thursday, March 19, 2015 3:18 AM
To: NLM/NCBI Info
Subject: asking about content of a study
Dear Sir or Madam,
This study calims that lincomycin is no longer used by humans. Is that true? if so what is the reference for that? if not how is false information published?
http://www.ncbi.nlm.nih.gov/pubmed/25671960
waiting for your reply.
best regards
[NAME].",Is lincomycin still prescribed for human use?,"Is it true that lincomycin is no longer used by humans? If so, what is the reference for that? If not, how is false information published?"
"SUBJECT: Amputed finger
MESSAGE: SIr; my 4 yrs old daughter left hand ring finger was crushed in fatal door closure... expert plastic surgeons were consulted and it was finally decided to remove the dead balck portion of finger  and sealed it; now i wish to know to knw wht best treatement I can get for her... she is having pain as her finger/hand  is still in plaster...... I need expert opinions ; pl help ////  regards [NAME]  Father [CONTACT]",What is the treatment and prognosis for a crushed finger on a child?,"What is the best treatment for my 4-year-old daughter's amputated finger after a door collision, as she is still experiencing pain despite the plaster cast?"
MESSAGE: I was told not to take the shingles vaccine..i have many healthe problems and many allergies…,When is the shingles vaccine contraindicated?,Should I take the shingles vaccine despite being advised not to due to multiple health problems and allergies?
Post chemo for breast ca.( methotrexate and cytoxin) I gained weight. I had always been a string bean until then. After reading about christensenella I began to wonder what might kill our little friendly gut bacteria. Antibiotics and chemo are so common in our culture. I wondered could this be  causative in the obesity that exists in the USA ?,Does antibiotic use and chemotherapy cause weight gain?,"What might kill the friendly gut bacteria, Christensenella, which is affected by chemotherapy for breast cancer (methotrexate and cytoxin), leading to weight gain and obesity in the USA?"
"SUBJECT: fluocinolone acetonide ointment tube
MESSAGE: Is it possible to obtain this ointment (.25 mg) in anything other than a metal tube?  I travel a lot, and the tube constantly develops cracks, so the ointment squeezes out everywhere -- very messy.  My pharmacy doesn't know of any other packaging.  Thank you!",Does fluocinolone acetonide ointment .25 mg come in a non-metal tube or other packaging?,Is it possible to obtain fluocinolone acetonide ointment in anything other than a metal tube?
"Dear sir/madam
I am 40 year old man  & have vericoceal on my left side .My wife is 24year old ,we are trying for a baby for the last 4 months with no positive result. doctor suggest me try for baby for at least 1 year.
Please suggest me what i have to do for a baby. i will be highly obliged .
thank you
[NAME]
[LOCATION]",What are treatments for male fertility issues and varicocele?,"What should I do to conceive a baby after being married for 4 years and trying for 4 months with no positive result, despite the doctor suggesting that we try for at least 1 year?"
"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: I'm 33 years old and got diagnosed with rhabdomyosarcoma stage 4 last December. I went through 13 weeks on intense chemotherapy and my last scan showed that I'm in remission. I'm looking for more guidence as far as a stem cell replacement goes.",Is stem cell therapy appropriate for stage 4 rhabdomyosarcoma in remission?,What are the best stem cell replacement options for a 33-year-old man in remission from stage 4 rhabdomyosarcoma after 13 weeks of intense chemotherapy?
